"Red","Green","Blue","Alpha","Distance"
"54","82","85","73","95.44632492351793"
"54","82","85","73","95.44632492351793"
"54","82","85","73","95.44632492351793"
"54","82","85","73","95.44632492351793"
"54","82","85","73","95.44632492351793"
"54","82","85","73","95.44632492351793"
"54","82","85","73","95.44632492351793"
"54","82","85","73","95.44632492351793"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","83","86","74","91.80147029963445"
"55","83","86","74","91.80147029963445"
"55","83","86","74","91.80147029963445"
"55","83","86","74","91.80147029963445"
"55","83","86","74","91.80147029963445"
"55","83","86","74","91.80147029963445"
"55","83","86","74","94.19455647245854"
"55","83","86","74","94.19455647245854"
"55","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","88.46367711346606"
"54","82","85","73","88.46367711346606"
"54","82","85","73","88.46367711346606"
"54","82","85","73","88.46367711346606"
"54","82","85","73","88.46367711346606"
"54","82","85","73","88.46367711346606"
"54","82","85","73","88.46367711346606"
"54","82","85","73","88.46367711346606"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","83","85","74","90.6568139195584"
"55","83","86","74","90.6568139195584"
"55","83","86","74","90.6568139195584"
"55","83","86","74","90.6568139195584"
"55","83","86","74","90.6568139195584"
"55","83","86","74","92.98017909630984"
"55","83","86","74","92.98017909630984"
"55","82","86","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","87.4124261050054"
"54","82","85","73","87.4124261050054"
"54","82","85","73","87.4124261050054"
"54","82","85","73","87.4124261050054"
"54","82","85","73","87.4124261050054"
"54","82","85","73","87.4124261050054"
"54","82","85","73","87.4124261050054"
"54","82","85","73","87.4124261050054"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","74","92.98017909630984"
"55","83","86","74","92.98017909630984"
"55","83","86","74","92.98017909630984"
"55","83","86","74","92.98017909630984"
"55","83","86","74","92.98017909630984"
"55","83","86","74","90.6568139195584"
"55","83","86","74","90.6568139195584"
"55","83","86","74","90.6568139195584"
"55","83","86","74","90.6568139195584"
"55","83","86","74","90.6568139195584"
"55","83","86","74","90.6568139195584"
"55","83","86","74","90.6568139195584"
"55","83","86","74","90.6568139195584"
"55","83","86","74","85.3942257965733"
"55","83","86","74","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","95.44632492351793"
"54","82","85","73","95.44632492351793"
"54","82","85","73","95.44632492351793"
"55","83","86","74","95.44632492351793"
"55","83","86","74","95.44632492351793"
"55","83","86","74","95.44632492351793"
"55","83","86","74","95.44632492351793"
"55","83","86","74","95.44632492351793"
"55","83","86","74","91.80147029963445"
"55","83","86","74","91.80147029963445"
"55","83","86","74","91.80147029963445"
"55","83","86","74","91.80147029963445"
"55","83","86","74","91.80147029963445"
"55","83","86","74","91.80147029963445"
"55","83","86","74","91.80147029963445"
"55","83","86","74","89.54469194981975"
"55","83","86","74","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","89.54469194981975"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","85.3942257965733"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","92.98017909630984"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","94.19455647245854"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","91.80147029963445"
"54","82","85","73","90.6568139195584"
"54","82","85","73","90.6568139195584"
